rds_id,rds_name,rds_short_id,rds_status,rds_sfdc_id,rds_address,rds_city,rds_state,rds_idv_enabled,rds_created,sf_record_id,sf_name,sf_short_id,sf_status,snappt_property_id_c,sf_property_id_c,sf_address,sf_city,sf_state,sf_idv_enabled,sf_fraud_enabled,sf_income_enabled,sf_bank_enabled,sf_created,sf_modified,name_match_status,sfdc_id_match_status
faf624cd-3274-4a23-8378-aa884d32f801,Sorella,BQBQkxCQff,ACTIVE,a01UL00000I6mCVYAZ,3000 West Bates Avenue,Denver,CO,true,2025-11-19T18:57:26.000Z,a13UL00000hJHPoYAO,Sorella,BQBQkxCQff,ACTIVE,faf624cd-3274-4a23-8378-aa884d32f801,a01UL00000I6mCVYAZ,3000 West Bates Avenue,Denver,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:11.000Z,Exact Match,SFDC ID Match
2c87819c-4674-4597-bfe1-8f2c37bf0fe8,Palm Beach Reserve,VzzHBU7OuI,ACTIVE,a01Dn00000HHmpVIAT,7080 Banyan Leaf Drive,West Palm Beach,FL,true,2025-11-19T18:56:10.000Z,a13UL00000hJHPrYAO,Palm Beach Reserve,VzzHBU7OuI,ACTIVE,2c87819c-4674-4597-bfe1-8f2c37bf0fe8,a01Dn00000HHmpVIAT,7080 Banyan Leaf Drive,West Palm Beach,,false,false,false,false,2025-11-20T14:21:29.000Z,2025-11-20T14:41:54.000Z,Exact Match,SFDC ID Match
5613d091-b293-4408-a96b-a96dd5ec9784,LoHi Gold,MxBnIs8MF8,ACTIVE,a01Dn00000HHRZFIA5,2424 West Caithness Place,Denver,CO,true,2025-11-19T18:54:25.000Z,a13UL00000hJHPnYAO,LoHi Gold,MxBnIs8MF8,ACTIVE,5613d091-b293-4408-a96b-a96dd5ec9784,a01Dn00000HHRZFIA5,2424 West Caithness Place,Denver,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:05.000Z,Exact Match,SFDC ID Match
c8964e77-596f-4965-a415-fe54f80adbe1,Grand Estates at Keller,P65mZnLIO7,ACTIVE,a01Dn00000HHO1uIAH,500 North Tarrant Parkway,Keller,TX,true,2025-11-19T18:48:09.000Z,a13UL00000hJHPqYAO,Grand Estates at Keller,P65mZnLIO7,ACTIVE,c8964e77-596f-4965-a415-fe54f80adbe1,a01Dn00000HHO1uIAH,500 North Tarrant Parkway,Keller,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:09.000Z,Exact Match,SFDC ID Match
5e08afe3-25e9-4f43-910b-ad74660e35d2,Elevation at County Line Station,TIXke3KOg4,ACTIVE,a01Dn00000HHMliIAH,8331 South Valley Highway,Englewood,CO,true,2025-11-19T18:46:17.000Z,a13UL00000hJHPuYAO,Elevation at County Line Station,TIXke3KOg4,ACTIVE,5e08afe3-25e9-4f43-910b-ad74660e35d2,a01Dn00000HHMliIAH,8331 South Valley Highway,Englewood,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:05.000Z,Exact Match,SFDC ID Match
a35db42e-6f9e-437d-b6a6-3c8a90a754c6,Edge DTC,gW7I3wzekg,ACTIVE,a01Dn00000HHMNPIA5,7500 East Quincy Avenue,Denver,CO,true,2025-11-19T18:44:07.000Z,a13UL00000hJHPwYAO,Edge DTC,gW7I3wzekg,ACTIVE,a35db42e-6f9e-437d-b6a6-3c8a90a754c6,a01Dn00000HHMNPIA5,7500 East Quincy Avenue,Denver,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:07.000Z,Exact Match,SFDC ID Match
579cd089-2363-43de-9a87-35539c882cdd,Cathedral Lakes - IDV ONLY,eudWhUhKhU,ACTIVE,a01Dn00000HHnsHIAT,698 Basilica Bay Drive,Spring,TX,true,2025-11-19T16:40:58.000Z,a13UL00000hJHPsYAO,Cathedral Lakes - IDV ONLY,eudWhUhKhU,ACTIVE,579cd089-2363-43de-9a87-35539c882cdd,a01Dn00000HHnsHIAT,698 Basilica Bay Drive,Spring,TX,true,true,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:05.000Z,Exact Match,SFDC ID Match
bdb0add5-3542-466e-86c3-23c7522f7093,Parc Rosslyn Apartments,K2pxQKPXO9,ACTIVE,a01Dn00000HHUW4IAP,1531 North Pierce Street,Arlington,VA,true,2025-11-19T16:07:16.000Z,a13UL00000hJHPtYAO,Parc Rosslyn Apartments,K2pxQKPXO9,ACTIVE,bdb0add5-3542-466e-86c3-23c7522f7093,a01Dn00000HHUW4IAP,1531 North Pierce Street,Arlington,,false,true,true,true,2025-11-20T14:21:29.000Z,2026-01-05T10:04:09.000Z,Exact Match,SFDC ID Match
e7bdcc3a-7bda-439b-8c93-6503cdd49a0a,Shirley,3ATBY9rtYx,ACTIVE,a01Dn00000HHXvTIAX,2005 Town Center Boulevard,Odenton,MD,true,2025-11-19T16:01:36.000Z,a13UL00000hJHPyYAO,Shirley,3ATBY9rtYx,ACTIVE,e7bdcc3a-7bda-439b-8c93-6503cdd49a0a,a01Dn00000HHXvTIAX,2005 Town Center Boulevard,Odenton,,false,false,false,false,2025-11-20T14:21:29.000Z,2026-01-05T10:04:01.000Z,Exact Match,SFDC ID Match
94e1a270-050f-4a35-b91e-c0a75f44a5a2,Agave,Oi9XhLgCvr,ACTIVE,a01Dn00000HHdwQIAT,633 S Saint Marys St,San Antonio,TX,true,2025-11-19T14:38:04.000Z,a13UL00000hJHPxYAO,Agave,Oi9XhLgCvr,ACTIVE,94e1a270-050f-4a35-b91e-c0a75f44a5a2,a01Dn00000HHdwQIAT,633 S Saint Marys St,San Antonio,,false,true,true,true,2025-11-20T14:21:29.000Z,2025-11-24T17:51:52.000Z,Exact Match,SFDC ID Match
